Flavobacterium	O
sinopsychrotolerans	O
sp	O
.	O
nov	O
.	O
,	O
isolated	O
from	O
a	O
glacier	O
.	O

An	O
aerobic	O
,	O
Gram	O
-	O
negative	O
,	O
yellow	O
-	O
pigmented	O
bacterial	O
strain	O
,	O
designated	O
0533	O
(	O
T	O
)	O
,	O
was	O
isolated	O
from	O
frozen	O
soil	O
from	O
the	O
China	O
No	O
.	O
1	O
glacier	O
.	O

Phylogenetic	O
analysis	O
of	O
the	O
16S	O
rRNA	O
gene	O
sequence	O
demonstrated	O
that	O
strain	O
0533	O
(	O
T	O
)	O
was	O
a	O
member	O
of	O
the	O
genus	O
Flavobacterium	O
and	O
exhibited	O
97	O
.	O
1	O
-	O
98	O
.	O
7	O
%	O
16S	O
rRNA	O
sequence	O
similarity	O
with	O
its	O
nearest	O
phylogenetic	O
neighbours	O
.	O

Strain	O
0533	O
(	O
T	O
)	O
exhibited	O
phenotypic	O
and	O
chemotaxonomic	O
characteristics	O
common	O
to	O
the	O
genus	O
Flavobacterium	O
:	O
menaquinone	O
-	O
6	O
(	O
MK	O
-	O
6	O
)	O
was	O
the	O
predominant	O
quinone	O
and	O
iso	O
-	O
C	O
(	O
15	O
:	O
0	O
)	O
,	O
C	O
(	O
17	O
:	O
1	O
)	O
omega6c	O
,	O
anteiso	O
-	O
C	O
(	O
15	O
:	O
0	O
)	O
,	O
iso	O
-	O
C	O
(	O
15	O
:	O
0	O
)	O
3	O
-	O
OH	O
,	O
C	O
(	O
15	O
:	O
1	O
)	O
omega6c	O
,	O
iso	O
-	O
C	O
(	O
16	O
:	O
0	O
)	O
3	O
-	O
OH	O
,	O
summed	O
feature	O
3	O
(	O
comprising	O
C	O
(	O
16	O
:	O
1	O
)	O
omega7c	O
and	O
/	O
or	O
C	O
(	O
16	O
:	O
1	O
)	O
omega6c	O
)	O
,	O
iso	O
-	O
C	O
(	O
15	O
:	O
1	O
)	O
G	O
and	O
iso	O
-	O
C	O
(	O
17	O
:	O
0	O
)	O
3	O
-	O
OH	O
were	O
the	O
major	O
fatty	O
acids	O
(	O
>	O
5	O
%	O
)	O
.	O

The	O
DNA	O
G	O
+	O
C	O
content	O
was	O
32	O
.	O
5	O
